Lab Data from MenloSensor
04/20/2015

Sunny day monitoring from about 12:26 PM on

Battery started mostly discharged 12:16 PM

No light flashing due to day/night program

Microcontroller always on at default 8Mhz ceramic resonator
  - No microcontroller power saving programmed as of yet

Radio on new power control program with radio power off after
250ms.

30 second update rate that automatically powers on the radio,
reads the sensors and sends the data update.

Need current measurements for:

  - In radio power off state

  - 70-85ma with radio powered on from previous testing

600ma hour single cell AA NiCD battery 1.25v

In the past can expect the device go shutoff when battery
gets below 0.90v

                     lite bat  slr  mois temp
2015/04/20 12:27:36: 03DB.01A1.01F6.0159.0000 battery 1.345V solar 1.619V 
2015/04/20 12:28:06: 03DC.01C6.0219.0177.0000 battery 1.465V solar 1.732V 
2015/04/20 12:28:36: 03DC.01C6.021A.0176.0000 battery 1.465V solar 1.735V 
2015/04/20 12:29:06: 03DC.01C5.0220.0175.0000 battery 1.461V solar 1.755V 
2015/04/20 12:29:36: 03DB.01C5.0221.0173.0000 battery 1.461V solar 1.758V 
2015/04/20 12:30:06: 03DD.01C4.0213.0174.0000 battery 1.458V solar 1.713V 
2015/04/20 12:30:36: 03DC.01C4.021E.0172.0000 battery 1.458V solar 1.748V 
2015/04/20 12:31:06: 03DC.01C3.021F.0171.0000 battery 1.455V solar 1.752V 
2015/04/20 12:31:36: 03DD.01C3.021C.0169.0000 battery 1.455V solar 1.742V 
2015/04/20 12:32:06: 03DD.01C3.0214.0165.0000 battery 1.455V solar 1.716V 
2015/04/20 12:32:36: 03DD.01C3.021B.016E.0000 battery 1.455V solar 1.739V 
2015/04/20 12:33:06: 03DC.01C2.021B.016D.0000 battery 1.452V solar 1.739V 
2015/04/20 12:33:36: 03DC.01C1.021B.016D.0000 battery 1.448V solar 1.739V 
2015/04/20 12:34:06: 03DC.01B7.021A.016C.0000 battery 1.416V solar 1.735V 
2015/04/20 12:34:36: 03DC.01C1.020C.0166.0000 battery 1.448V solar 1.690V 
2015/04/20 12:35:06: 03DD.01C0.0218.016B.0000 battery 1.445V solar 1.729V 
2015/04/20 12:35:36: 03DC.01C0.020A.0161.0000 battery 1.445V solar 1.684V 
2015/04/20 12:36:06: 03DC.01BF.0214.0164.0000 battery 1.442V solar 1.716V 
2015/04/20 12:36:36: 03DD.01C0.0216.0169.0000 battery 1.445V solar 1.723V 
2015/04/20 12:37:06: 03DC.01BE.020B.0162.0000 battery 1.439V solar 1.687V 
2015/04/20 12:37:36: 03DC.01BF.0215.0168.0000 battery 1.442V solar 1.719V 
2015/04/20 12:38:06: 03DC.01BE.0214.0167.0000 battery 1.439V solar 1.716V 
2015/04/20 12:38:36: 03DD.01BF.0214.0167.0000 battery 1.442V solar 1.716V 
2015/04/20 12:39:05: 03DD.01BE.0212.0167.0000 battery 1.439V solar 1.710V 
2015/04/20 12:39:35: 03DD.01B6.0214.0164.0000 battery 1.413V solar 1.716V 
2015/04/20 12:40:05: 03DD.01B2.0214.0167.0000 battery 1.400V solar 1.716V 
2015/04/20 12:40:35: 03DC.01BE.0213.0166.0000 battery 1.439V solar 1.713V 
2015/04/20 12:41:05: 03DD.01BA.0213.0164.0000 battery 1.426V solar 1.713V 
2015/04/20 12:41:35: 03DC.01BD.0212.0166.0000 battery 1.435V solar 1.710V 
2015/04/20 12:42:05: 03DD.01B8.0212.0160.0000 battery 1.419V solar 1.710V 
2015/04/20 12:42:35: 03DC.01BD.0212.0164.0000 battery 1.435V solar 1.710V 
2015/04/20 12:43:05: 03DC.01BC.0211.0165.0000 battery 1.432V solar 1.706V 
2015/04/20 12:43:35: 03DC.01BC.0211.0165.0000 battery 1.432V solar 1.706V 
2015/04/20 12:44:05: 03DD.01BB.020B.0165.0000 battery 1.429V solar 1.687V 
2015/04/20 12:44:35: 03DD.01BC.0211.0165.0000 battery 1.432V solar 1.706V 
2015/04/20 12:45:05: 03DD.01BD.0211.015F.0000 battery 1.435V solar 1.706V 
2015/04/20 12:45:35: 03DD.01BD.0211.015D.0000 battery 1.435V solar 1.706V 
2015/04/20 12:46:05: 03DE.01BB.0211.015B.0000 battery 1.429V solar 1.706V 
2015/04/20 12:46:35: 03DD.01BB.0210.0164.0000 battery 1.429V solar 1.703V 
2015/04/20 12:47:05: 03DC.01BC.0210.0164.0000 battery 1.432V solar 1.703V 
2015/04/20 12:47:35: 03DC.01BC.0210.0164.0000 battery 1.432V solar 1.703V 
2015/04/20 12:48:05: 03DC.01BC.0210.0165.0000 battery 1.432V solar 1.703V 
2015/04/20 12:48:35: 03DD.01B7.0210.0163.0000 battery 1.416V solar 1.703V 
2015/04/20 12:49:05: 03DC.01BC.0210.0163.0000 battery 1.432V solar 1.703V 
2015/04/20 12:49:35: 03DE.01BC.0210.0164.0000 battery 1.432V solar 1.703V 
2015/04/20 12:50:05: 03DD.01BA.0210.0162.0000 battery 1.426V solar 1.703V 
2015/04/20 12:50:34: 03DE.01AE.0209.0163.0000 battery 1.387V solar 1.681V 
2015/04/20 12:51:04: 03DC.01BB.020F.0160.0000 battery 1.429V solar 1.700V 
2015/04/20 12:51:34: 03DD.01BA.020E.0163.0000 battery 1.426V solar 1.697V 
2015/04/20 12:52:04: 03DC.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 12:52:34: 03DC.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 12:53:04: 03DC.01BB.020F.015A.0000 battery 1.429V solar 1.700V 
2015/04/20 12:53:34: 03DD.01B4.0208.0162.0000 battery 1.406V solar 1.677V 
2015/04/20 12:54:04: 03DC.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
